code;id;name;mainRoute;routeIds
551898;MTA_551898;NORTHERN BL/114 ST;MTABC_Q66;['MTABC_Q66']
551901;MTA_551901;NORTHERN BL/127 PL;MTABC_Q66;['MTABC_Q19', 'MTABC_Q66']
551907;MTA_551907;NORTHERN BL/102 ST;MTABC_Q66;['MTABC_Q66']
551909;MTA_551909;NORTHERN BL/98 ST;MTABC_Q66;['MTABC_Q66']
551911;MTA_551911;NORTHERN BL/92 ST;MTABC_Q66;['MTABC_Q66']
551912;MTA_551912;NORTHERN BL/90 ST;MTABC_Q66;['MTABC_Q66']
551914;MTA_551914;NORTHERN BL/86 ST;MTABC_Q66;['MTABC_Q66']
551916;MTA_551916;NORTHERN BL/70 ST;MTABC_Q66;['MTABC_Q66']
551919;MTA_551919;NORTHERN BL/NEWTOWN RD;MTABC_Q66;['MTABC_Q66']
551920;MTA_551920;NORTHERN BL/49 ST;MTABC_Q66;['MTABC_Q66']
551921;MTA_551921;NORTHERN BL/44 ST;MTABC_Q66;['MTABC_Q66']
551922;MTA_551922;35 AV/24 ST;MTABC_Q66;['MTABC_Q66']
552515;MTA_552515;NORTHERN BL/89 ST;MTABC_Q66;['MTABC_Q66']
552981;MTA_552981;NORTHERN BL/126 PL;MTABC_Q66;['MTABC_Q19', 'MTABC_Q66']
553024;MTA_553024;NORTHERN BL/BROADWAY;MTABC_Q66;['MTABC_Q66']
553154;MTA_553154;35 AV/35 ST;MTABC_Q66;['MTABC_Q66']
